Anthropicaware,BDaware,DMaware,OAaware,AFaware,AGaware,CGPTaware,Ciceroaware,Claudeaware,GPT4aware,Sophiaaware,NNaware,TFaware,TSaware,Amariaware,SCaware,chatbottrust,LLMtrust,robottrust,gameAItrust,relativeLLMchatbottrust,trainingdatatrust,algorithmtrust,outputtrust,companytrust,engineertrust,governmenttrust,admiration,awe,pride,compassion,excitement,respect,AID1,AID2,AID3,AID4,AID5,RS1,RS2,RS3,RS4,RS5,RS6,RS7,RS8,RS9,SI1,SI2,SI3,SI4,PMC1,PMC3,PMC4,PMC8,PMC9,PMC10,PMC11,PMC12,PMC13,LLM1,LLM2,LLM3,MP1,MP2,MP3,MP4,owngoals,safegoals,upholding,selfaware,sitaware,selfcontrol,understanding,friendliness,power,ownmotives,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,F1,F11,chatGPTsentient,emergence,HLAIemergence,SIemergence,SF1,SF2,upload1,upload2,universe,YG1,YG2,YG3,YG4,MCA1,MCA2,MCEn1,MCEn2,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,age,gender,region,raceethnicity,education,income,zipcode,Pcode,religionRNR,dietMR,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,exp_prop,RS1_r,education_recode,age_recode,income_recode,weight
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(3) probably yes,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,5,4,5,5,5,4.66,4.72,4.78,3.76,5.2,4.6,4.96,5.5,5.2,2.5,3.34,4.96,Yes,Yes,Not sure,5,It's fine.,5,2,3,3,2,6,3,3,2,6,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,57,26,74,66,38,72,70,40,69,41,35,71,35,38,5,2,5,2,2,2,No,No,No,5,5,5,2,3,2.5,3,One with humans,Not very concerned,Not very likely,Somewhat oppose,Somewhat oppose,5,5,5,6,(2) agree,No,No,No,"[""None of the above""]",0,2,3.88,Protestant,,Meat-eater,Interesting survey.  One of the best.,16.72,69,Male,West,White,9,112500,95687,976,0,0,0,0,0,0,0,1,0,3,associates,55_,100000_,0.969139796
(6) definitely no,(6) definitely no,(5) no,(4) probably no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(4) probably no,(6) definitely no,(6) definitely no,(6) definitely no,(4) probably no,(6) definitely no,(6) definitely no,(4) probably no,1,2,2,1,1,1.12,1.9,1.9,1.96,1.96,1.12,1,1,1,1,1,1,No,No,Yes,6,It's too fast.,1,5,5,6,5,2,6,6,5,7,7,7,7,5,5,5,1,1,5,1,1,1,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,76,64,1,1,1,2,1,1,No,No,No,2050,2070,2055,3,2,1,1,One with humans,Somewhat concerned,Not very likely,Strongly support,Strongly support,1,5,1,5,(2) agree,No,No,No,"[""None of the above""]",0,0,3.48,Protestant,,Meat-eater,,7.92,69,Male,Midwest,White,8,137500,60174,977,0,0,0,0,0,0,0,1,0,7,some_college,55_,100000_,1.163586134
(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(2) yes,(5) no,(3) probably yes,(3) probably yes,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,5,6,5,4,5,5.02,4.36,4.24,3.04,4.78,2.38,2.98,3.04,2.98,1.78,2.86,3.04,Not sure,Not sure,No,3,It's too fast.,5,2,5,5,4,4,2,4,4,6,4,4,5,6,6,4,4,1,4,1,1,1,6,4,1,25,26,75,75,42,57,23,31,64,27,58,44,40,23,2,1,2,2,4,1,Not sure,Not sure,No,0,5,0,6,5,1.42,3,One with humans,Not very concerned,Very likely,Strongly support,Somewhat support,5,2,2,2,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI""]",0,1,3.6,Protestant,,Meat-eater,,24.03,70,Male,West,White,7,137500,93551,978,0,0,0,0,1,0,0,0,0.2,3,some_college,55_,100000_,1.182042127
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,3,3,3,3,4,4.54,3.34,2.86,3.7,5.02,1.72,3.52,3.22,3.4,3.04,3.16,3.22,No,Yes,Not sure,3,It's too fast.,5,2,7,5,4,4,5,5,4,5,2,5,5,2,4,4,5,4,6,5,2,5,5,5,5,39,37,41,38,40,36,36,20,39,43,38,38,43,34,4,4,6,5,5,2,Not sure,Not sure,Not sure,5,11,9,2,6,2.32,2,One with humans,Not at all concerned,Not very likely,Somewhat support,Somewhat support,6,6,5,5,(2) agree,No,No,No,"[""None of the above""]",0,0,4.48,Protestant,,Meat-eater,this is probably the most difficult and confusing survey I have taken,29.13,77,Female,West,White,10,112500,85331,979,0,0,0,0,0,0,0,1,0,3,bachelors,55_,100000_,0.833480272
No opinion,(5) no,No opinion,(5) no,(5) no,(4) probably no,(5) no,(2) yes,(4) probably no,No opinion,(2) yes,(5) no,(2) yes,(2) yes,(2) yes,(4) probably no,1,4,4,2,4,3.7,4.66,3.16,2.38,3.34,2.44,1.78,2.02,5.56,2.74,1.18,1.54,No,No,Yes,7,It's too fast.,7,4,6,7,6,2,7,6,4,5,5,6,6,6,5,6,2,2,6,1,4,5,7,2,3,39,17,34,36,33,54,83,45,38,71,70,75,40,35,4,3,6,5,6,5,Yes,Not sure,Yes,0,-1,0,7,7,2.5,3,One with humans,Very concerned,Not sure,Strongly support,Strongly support,4,4,2,6,(2) agree,No,No,No,"[""None of the above""]",0,2,2.2,Catholic,,Meat-eater,Excellent Survey!!,94.55,63,Male,West,White,5,175000,95648,980,0,0,0,0,0,0,0,1,0,1,high,55_,100000_,1.100150227
(1) definitely yes,(6) definitely no,(3) probably yes,(3) probably yes,(4) probably no,(2) yes,(3) probably yes,(4) probably no,(3) probably yes,(5) no,(5) no,(6) definitely no,(6) definitely no,(3) probably yes,(3) probably yes,(3) probably yes,7,5,3,2,3,2.8,5.08,2.86,2.8,5.44,5.62,5.38,5.02,3.04,2.5,2.68,4.96,No,Not sure,Not sure,6,Not sure,1,5,5,6,5,2,5,2,5,2,7,5,3,3,5,5,3,5,1,6,2,5,3,6,3,15,33,29,28,76,72,80,76,77,77,70,68,65,83,6,3,2,5,6,1,Not sure,Not sure,No,0,-1,0,3,3,4.72,6,One with humans,Not very concerned,Somewhat likely,Somewhat support,Strongly oppose,6,6,3,5,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a family member or friend about robots/AIs""]",2,2,5,Catholic,,Other restrictions,,3.9,25,Male,Midwest,White,7,137500,48334,981,0,1,0,1,0,0,1,0,0.4,7,some_college,18_34,100000_,1.187685865
(5) no,(5) no,(4) probably no,(4) probably no,(5) no,(5) no,(2) yes,(5) no,(5) no,(3) probably yes,(2) yes,(4) probably no,(2) yes,(4) probably no,(3) probably yes,(5) no,2,2,3,3,3,3.94,4,4.24,2.74,5.02,1.12,3.34,4.24,2.56,2.32,4.78,4.66,No,No,Not sure,3,It's too fast.,5,1,4,4,3,5,3,3,4,6,3,3,5,7,5,7,1,1,1,5,1,1,4,4,4,11,11,79,27,23,55,36,16,13,36,13,51,14,32,1,2,1,1,4,1,No,No,No,-1,-1,-1,6,6,1,1,One with humans,Not at all concerned,Not very likely,Somewhat support,Somewhat support,5,4,5,4,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs"",""None of the above""]",5,1,3.36,Catholic,,Meat-eater,,15.82,70,Male,West,White,10,112500,92505,982,0,0,0,0,0,0,1,1,0.2,3,bachelors,55_,100000_,0.959335993
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,2,1,5,4,1.9,1.36,2.02,1.78,1.84,1,1,1,1,1,1,1,No,No,Not sure,6,It's too fast.,3,5,7,7,7,1,7,7,5,7,6,7,7,7,7,7,1,1,1,1,5,1,1,1,1,1,35,78,33,79,21,98,16,31,23,15,55,13,86,1,1,1,1,1,1,Not sure,Not sure,Not sure,5,10,5,7,7,1.54,1,One with humans,Very concerned,Very likely,Strongly support,Strongly support,7,7,6,7,(2) agree,No,No,Yes,"[""None of the above""]",0,1,3.48,Jewish,,Meat-eater,,18.65,66,Male,West,White,5,112500,80016,983,0,0,0,0,0,0,0,1,0,5,high,55_,100000_,1.100150227
(4) probably no,(4) probably no,(4) probably no,(3) probably yes,(4) probably no,(4) probably no,(1) definitely yes,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,5,5,6,6,6,5.44,5.56,5.38,5.44,5.38,5.32,5.2,5.08,5.14,2.86,5.14,4.24,No,Not sure,Yes,6,Not sure,5,2,6,6,6,2,5,5,6,7,2,3,1,3,5,3,2,1,2,1,1,1,7,7,7,20,28,97,52,24,20,31,74,52,23,70,66,22,34,4,4,4,5,5,3,Not sure,Yes,Not sure,3,5,7,7,7,4.72,6,One with humans,Not very concerned,Somewhat likely,Somewhat support,Strongly support,7,7,7,7,(2) agree,No,No,Yes,"[""None of the above""]",0,1,3.68,Protestant,,Other restrictions,,8.5,66,Male,Midwest,White,10,137500,46902,984,0,1,0,0,0,0,0,1,0,3,bachelors,55_,100000_,0.944357256
(5) no,(3) probably yes,(3) probably yes,(5) no,(3) probably yes,(3) probably yes,(4) probably no,(5) no,(3) probably yes,(5) no,(3) probably yes,(4) probably no,(3) probably yes,(6) definitely no,(3) probably yes,(3) probably yes,3,3,3,3,4,6.16,3.52,3.4,3.46,4.48,3.46,3.34,3.04,4.36,3.52,4.84,3.94,No,Yes,Yes,5,It's too fast.,5,2,6,2,3,2,4,4,4,6,5,5,5,2,2,2,4,4,4,2,2,6,4,4,4,45,42,82,45,42,40,42,39,40,85,66,38,47,36,4,4,4,6,6,6,No,Yes,Not sure,5,5,5,5,5,4.72,4,One with humans,Not at all concerned,Not sure,Somewhat oppose,Somewhat support,5,5,5,5,(2) agree,No,No,Yes,"[""None of the above""]",0,0,2.96,Other,Non denominational christian,Meat-eater,Interesting,10.27,57,Male,Midwest,White,10,175000,46123,985,0,0,0,0,0,0,0,1,0,3,bachelors,55_,100000_,0.944357256
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,3,3,3,3,3,3.88,4.06,3.94,4.12,3.64,4.12,4.18,4.12,4.24,1,4.3,3.82,Not sure,Yes,Yes,5,Not sure,6,2,6,2,2,5,2,2,2,6,2,2,3,3,5,5,2,2,2,2,2,2,5,5,3,0,0,63,51,51,50,52,56,48,73,50,56,70,23,2,2,3,2,2,2,No,No,No,50,50,50,3,5,4.06,3,One with humans,Not very concerned,Somewhat likely,Somewhat oppose,Somewhat oppose,5,5,2,5,(2) agree,Yes,No,Yes,"[""None of the above""]",4,1,3.88,None,,Meat-eater,,11.05,59,Male,West,White,8,112500,85340,986,1,0,0,0,0,0,0,1,0,2,some_college,55_,100000_,1.182042127
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,2,3,2,4,2,3.34,2.14,4.6,4.3,5.2,3.34,4.12,5.02,2.98,3.76,1,3.4,Not sure,No,Yes,2,It's too fast.,2,3,6,6,6,2,3,4,1,7,2,6,6,6,4,5,1,1,1,2,1,1,4,1,1,23,0,100,29,22,78,72,30,78,75,38,73,28,36,5,1,2,1,1,4,Not sure,Not sure,Not sure,0,1,1,6,6,1,2,One with humans,Somewhat concerned,It is already more intelligent than people,Somewhat support,Somewhat support,3,6,3,5,(2) agree,No,No,No,"[""None of the above""]",0,1,3.32,Protestant,,Meat-eater,,12.85,75,Male,Midwest,White,10,175000,66866,987,0,0,0,0,0,0,0,1,0,6,bachelors,55_,100000_,0.944357256
(3) probably yes,(5) no,(3) probably yes,(2) yes,(5) no,(5) no,(2) yes,(5) no,(5) no,(3) probably yes,(5) no,(2) yes,(5) no,(4) probably no,(5) no,(5) no,5,6,6,6,6,5.92,4.78,4.06,2.8,5.2,1.42,1,3.16,1,1,4.84,1,Yes,No,Not sure,5,It's fine.,5,2,7,2,2,6,3,2,5,7,5,5,5,3,6,7,1,1,1,1,1,1,2,2,2,0,0,92,60,30,81,21,40,73,25,40,0,0,0,2,1,1,1,4,1,No,Not sure,No,5,3,10,7,3,2.26,3,One with humans,Not very concerned,Somewhat likely,Somewhat oppose,Somewhat oppose,6,5,6,7,(2) agree,Yes,No,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,2,2.84,None,,Meat-eater,,13.85,69,Male,West,White,10,137500,91214,988,1,0,0,0,0,1,1,0,0.4,3,bachelors,55_,100000_,0.959335993
(5) no,(5) no,(2) yes,(2) yes,(5) no,(2) yes,(2) yes,(5) no,(3) probably yes,(2) yes,(2) yes,(5) no,(2) yes,(2) yes,(2) yes,(2) yes,3,3,4,6,3,3.34,3.46,4.48,3.46,5.02,3.22,3.52,5.08,4.96,3.52,4.78,4.84,Not sure,Not sure,Yes,3,It's too fast.,5,2,7,5,5,3,5,6,6,6,3,5,5,2,4,4,3,3,6,5,4,4,6,5,3,65,58,59,67,73,37,41,60,70,70,44,58,49,65,5,5,6,3,5,5,Yes,Not sure,Not sure,5,5,6,6,6,3.04,3,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,5,6,5,6,(2) agree,No,No,No,"[""Had a conversation with a family member or friend about robots/AIs""]",0,2,3,Protestant,,Meat-eater,,14.37,57,Male,Midwest,White,10,112500,45015,989,0,0,0,0,0,0,1,0,0.2,3,bachelors,55_,100000_,0.944357256
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,5,2,3,3,4,2.86,3.52,3.22,1.96,5.32,2.56,3.46,6.4,2.86,2.68,4.3,3.58,No,No,Not sure,5,It's too fast.,5,1,7,7,7,1,7,7,3,7,1,7,7,7,7,7,2,1,2,1,1,1,1,2,1,5,4,75,67,29,22,88,93,74,36,37,39,71,65,5,1,2,1,7,1,No,No,No,0,1,0,2,2,2.68,1,One with humans,Not at all concerned,Somewhat likely,Strongly support,Strongly support,7,6,6,6,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.04,Catholic,,Meat-eater,,10.97,63,Male,West,White,8,175000,89436,990,0,0,0,0,0,0,0,1,0,3,some_college,55_,100000_,1.182042127
(3) probably yes,(4) probably no,(3) probably yes,(4) probably no,(5) no,(4) probably no,(3) probably yes,(4) probably no,(5) no,(4) probably no,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,3,3,3,3,3,4.84,4.9,4.84,3.1,5.14,3.22,2.98,5.02,4.12,1.9,2.8,3.16,No,No,Yes,6,It's fine.,3,2,6,3,3,3,1,2,6,3,2,6,6,2,2,2,3,3,3,6,3,6,6,5,5,51,55,53,46,57,36,56,54,43,47,57,64,75,52,5,6,5,3,7,5,Yes,Yes,No,0,0,0,5,5,3.4,6,One with humans,Not very concerned,Very likely,Somewhat support,Somewhat oppose,6,7,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",0,1,2.72,Other,Wiccan/Pagan,Meat-eater,,24.07,64,Male,West,White,10,137500,87102,991,0,0,0,0,1,1,1,0,0.6,5,bachelors,55_,100000_,0.959335993
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,2,5,5,5,5,4.84,3.94,3.82,5.8,4.72,3.04,3.88,3.82,3.7,3.64,3.88,4.06,No,No,Yes,6,Not sure,3,5,6,6,6,2,6,6,6,5,6,6,6,5,5,5,4,4,5,5,4,5,7,5,5,43,44,63,46,48,39,43,39,46,51,40,55,51,40,4,4,4,4,6,4,No,Not sure,Not sure,5,10,10,6,5,3.16,2,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,7,7,6,7,(2) agree,No,No,Yes,"[""None of the above""]",1,2,2.92,None,,Meat-eater,,12.75,61,Male,Midwest,White,5,137500,62035,992,1,0,0,0,0,0,0,1,0,5,high,55_,100000_,1.082972865
(5) no,(3) probably yes,(4) probably no,(1) definitely yes,(4) probably no,(4) probably no,(1) definitely yes,(4) probably no,(3) probably yes,(2) yes,(5) no,(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(2) yes,3,5,2,6,6,4.72,4.78,5.14,3.16,4.6,3.94,3.04,4.6,3.22,2.08,4.9,2.2,Not sure,No,Yes,6,It's fine.,1,3,7,3,5,6,3,4,4,6,7,7,7,6,6,6,5,4,2,3,3,4,5,3,3,34,33,81,69,39,40,54,67,55,67,58,62,61,66,1,1,1,1,6,1,Not sure,Yes,Not sure,5,20,12,6,3,2.86,3,One with humans,Somewhat concerned,Very likely,Somewhat oppose,Somewhat oppose,7,7,6,5,(2) agree,Yes,No,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,2,3.4,Protestant,,Meat-eater,That was an interesting survey. I learned a lot,21.1,29,Male,Midwest,White,10,175000,61265,993,0,0,0,0,0,1,1,0,0.4,7,bachelors,18_34,100000_,0.963916406
(5) no,(3) probably yes,(5) no,(1) definitely yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(5) no,(5) no,(2) yes,(4) probably no,(5) no,(5) no,(5) no,3,2,3,3,3,3.7,3.58,3.34,3.7,4.78,1.72,4.96,5.44,2.68,1,3.16,1.72,No,No,No,5,It's too fast.,3,3,6,6,6,5,2,5,4,6,1,3,3,3,3,5,1,1,1,1,1,1,5,1,2,19,4,77,62,46,45,41,45,38,65,76,69,45,65,3,2,5,1,5,1,No,Yes,Not sure,20,10,15,7,6,1,3,One with humans,Somewhat concerned,Very likely,Strongly support,Strongly support,5,1,3,1,(2) agree,No,No,No,"[""None of the above""]",1,2,3.92,Agnostic,,Meat-eater,,12.87,75,Male,Midwest,White,8,137500,53104,994,1,0,0,0,0,0,0,1,0,5,some_college,55_,100000_,1.163586134
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,No,No,No,2,It's too fast.,1,6,7,7,7,1,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,0,0,100,0,100,0,0,0,100,100,100,0,100,100,1,1,1,1,1,1,No,Not sure,No,5,5,5,1,2,1,1,One with humans,Very concerned,Very likely,Strongly support,Strongly support,5,2,1,1,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,0,5,Catholic,,Meat-eater,,10.23,73,Male,Midwest,White,8,225000,45247,995,0,0,0,0,0,0,1,0,0.2,7,some_college,55_,100000_,1.163586134
(4) probably no,(2) yes,(2) yes,(2) yes,(4) probably no,(4) probably no,(1) definitely yes,(3) probably yes,(4) probably no,(3) probably yes,(4) probably no,(1) definitely yes,(3) probably yes,(4) probably no,(4) probably no,(3) probably yes,2,2,5,5,2,4.66,1.66,2.8,1.54,5.86,1,4.24,4.3,3.94,1.06,4.3,3.28,No,No,No,1,Not sure,5,3,6,5,5,2,2,2,5,5,5,3,5,6,5,5,1,1,2,1,1,1,2,2,2,0,0,55,54,15,18,0,0,20,19,54,41,58,6,5,1,3,1,7,3,No,Not sure,No,20,25,30,6,5,1.78,5,One with humans,Somewhat concerned,Very likely,Somewhat support,Strongly support,7,7,7,7,(2) agree,Yes,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,3,4.04,Protestant,,Meat-eater,,19.83,74,Male,West,White,10,137500,87108,996,0,0,0,1,0,1,1,0,0.6,3,bachelors,55_,100000_,0.959335993
(5) no,(3) probably yes,(2) yes,(1) definitely yes,(3) probably yes,(3) probably yes,(4) probably no,(3) probably yes,(1) definitely yes,(5) no,(2) yes,(6) definitely no,(6) definitely no,(6) definitely no,(4) probably no,(6) definitely no,7,6,5,6,6,6.64,6.16,6.52,6.76,5.8,6.16,6.52,6.58,5.62,6.76,6.1,5.86,Yes,Yes,Yes,6,It's fine.,6,3,6,2,2,6,1,1,5,3,1,1,3,7,1,1,6,6,2,5,6,3,6,7,7,68,82,94,97,98,76,88,78,96,73,86,85,78,82,7,6,5,1,1,6,Yes,Yes,Not sure,10,10,10,7,7,2.2,6,One with humans,Not at all concerned,Not very likely,Somewhat support,Somewhat oppose,6,6,7,6,(2) agree,No,No,No,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",3,2,4.28,Protestant,,Meat-eater,It's great and amazing,11.08,34,Male,West,White,10,300000,94103,997,0,0,0,1,0,1,1,0,0.6,2,bachelors,18_34,100000_,0.979205378
(5) no,(1) definitely yes,(3) probably yes,(2) yes,(5) no,(3) probably yes,(1) definitely yes,(2) yes,(5) no,(3) probably yes,(5) no,(2) yes,(4) probably no,(5) no,(5) no,(5) no,5,5,5,5,5,5.86,3.1,5.08,3.34,6.22,4.48,1.9,4.24,1.6,2.74,2.86,2.2,No,No,No,3,It's too fast.,5,3,6,5,6,1,3,3,5,6,5,6,6,3,3,3,5,3,5,6,4,5,5,5,3,17,3,44,55,32,46,40,31,25,32,14,60,18,13,5,2,6,4,6,1,No,Not sure,No,40,38,45,7,2,3.34,3,One with humans,Not very concerned,Somewhat likely,Somewhat oppose,Somewhat support,5,6,7,7,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a family member or friend about robots/AIs""]",0,3,1.84,Agnostic,,Meat-eater,,9.17,33,Male,Midwest,White,10,175000,46582,998,1,0,0,1,0,0,1,0,0.4,3,bachelors,18_34,100000_,0.963916406
(3) probably yes,(5) no,(3) probably yes,(3) probably yes,(5) no,(4) probably no,(5) no,(5) no,(5) no,(3) probably yes,(3) probably yes,(3) probably yes,(2) yes,(5) no,(5) no,(3) probably yes,5,6,6,5,3,4.84,4.78,4.48,5.26,5.2,4.3,4.48,5.08,5.02,4.9,5.56,4.6,Yes,Yes,Yes,6,It's fine.,7,2,3,3,2,7,1,3,6,5,2,1,2,1,2,2,6,5,6,5,3,6,6,7,7,74,70,75,75,69,79,73,72,70,66,79,76,71,76,6,6,6,6,5,5,Yes,Yes,Not sure,3,5,3,5,5,5.02,7,One with humans,Not at all concerned,Somewhat likely,Somewhat oppose,Somewhat support,6,6,6,6,(2) agree,No,No,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,2,2.48,Catholic,,Meat-eater,,11.27,72,Male,Midwest,White,9,137500,60646,999,0,0,0,0,0,1,1,0,0.4,1,associates,55_,100000_,0.954007985
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,3,3,3,3,2,1.78,1.72,1.72,2.02,1.72,1.48,2.26,2.38,2.32,2.26,2.38,2.38,No,No,No,3,It's too fast.,3,5,6,7,7,1,7,7,6,6,6,6,6,6,6,6,3,1,6,2,2,2,3,3,3,22,28,65,63,14,50,21,50,65,66,65,50,16,50,4,2,3,3,3,3,No,No,No,4,6,5,3,3,2.62,3,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Strongly support,4,3,5,5,(2) agree,No,No,No,"[""None of the above""]",0,0,3.88,Protestant,,Meat-eater,,18.32,87,Male,South,White,7,82500,19966,1000,0,0,0,0,0,0,0,1,0,5,some_college,55_,75000_99999,1.197657183
(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(1) definitely yes,(5) no,(6) definitely no,(3) probably yes,No opinion,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,5,4,4,6,4,4.78,5.14,4.96,3.04,5.08,4.96,4.78,5.14,2.44,1.96,2.98,4.78,No,No,Yes,3,It's fine.,5,2,1,3,5,3,3,4,6,6,3,3,5,2,1,2,2,1,2,5,1,1,1,1,1,28,7,79,80,33,61,14,16,82,18,25,62,60,27,3,2,2,2,4,1,No,Yes,No,2,10,5,4,3,1.78,4,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,5,1,6,3,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI""]",3,2,2.68,None,,Meat-eater,,75.42,57,Male,Midwest,White,10,300000,45458,1001,1,0,0,0,1,0,0,0,0.2,3,bachelors,55_,100000_,0.944357256
(5) no,(3) probably yes,(3) probably yes,(3) probably yes,(5) no,(2) yes,(1) definitely yes,(5) no,(4) probably no,(2) yes,(4) probably no,(5) no,(2) yes,(2) yes,(5) no,(4) probably no,7,7,7,7,7,5.92,6.58,7,5.38,5.98,4.78,6.94,4.48,7,5.02,7,5.32,Yes,Yes,Yes,5,It's too fast.,7,2,7,1,1,7,1,1,7,5,1,3,3,1,1,1,7,7,7,7,5,7,7,7,7,93,100,87,100,99,95,86,87,100,99,89,87,92,89,7,7,7,2,7,5,No,Yes,No,5,3,4,7,5,6.94,5,One with humans,Not at all concerned,Not at all likely,Strongly support,Strongly support,7,6,7,5,(2) agree,Yes,No,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",5,4,3.12,Catholic,,Meat-eater,it was very important survey,18.52,33,Male,West,White,10,112500,85006,1002,0,0,0,0,0,1,1,0,0.4,1,bachelors,18_34,100000_,0.979205378
(4) probably no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(3) probably yes,(4) probably no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,2,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,No,No,No,3,It's too fast.,2,6,6,7,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,0,0,97,31,72,0,0,56,91,11,0,39,90,76,1,1,2,2,1,1,No,No,No,1,15,10,6,7,1,1,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Strongly support,6,3,5,3,(2) agree,No,No,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",0,3,4,Other,Christian-non denominational,Meat-eater,"STOP SKYNET! Hollywood movies OFTEN predict the future, thanks to our CIA, and globalist agendas",15.67,59,Male,Midwest,White,8,112500,44212,1003,0,0,0,0,0,1,1,0,0.4,6,some_college,55_,100000_,1.163586134
